"rules" "support" "confidence" "coverage" "lift" "count" "phi" "gini"
"39" "{items=Soup} => {daypart=Afternoon}" 0.00369783412572636 0.897435897435897 0.00412044374009509 1.66913554121257 35 0.0464152028354339 0.0010710728939714
"77" "{items=Soup,day_type=Weekday} => {daypart=Afternoon}" 0.003486529318542 0.891891891891892 0.00390913893291072 1.65882427918191 33 0.0445080164017553 0.000984861140949977
"29" "{items=Mineral water} => {daypart=Afternoon}" 0.00169043845747491 0.888888888888889 0.00190174326465927 1.65323901224864 16 0.0307495650499091 0.000470085090921668
"85" "{items=Sandwich,day_type=Weekend} => {daypart=Afternoon}" 0.00158478605388273 0.882352941176471 0.00179609086106709 1.64108284304093 15 0.0293255550887007 0.000427554031727562
"62" "{items=Sandwich,Coffee,day_type=Weekday} => {daypart=Afternoon}" 0.00147913365029054 0.875 0.00169043845747491 1.62740715268226 14 0.0278415943230465 0.000385377828706124
"72" "{items=Coffee,Scone,day_type=Weekday} => {daypart=Afternoon}" 0.00211304807184363 0.869565217391304 0.00243000528262018 1.6172990337215 20 0.032855273432712 0.000536671700677116
"22" "{items=Soup,Coffee} => {daypart=Afternoon}" 0.00137348124669836 0.866666666666667 0.00158478605388273 1.61190803694242 13 0.0262901734513757 0.000343625532672254
"61" "{items=Bread,Sandwich,day_type=Weekday} => {daypart=Afternoon}" 0.00137348124669836 0.866666666666667 0.00158478605388273 1.61190803694242 13 0.0262901734513757 0.000343625532672254
"14" "{items=Coffee,Jammie Dodgers} => {daypart=Afternoon}" 0.00126782884310618 0.857142857142857 0.00147913365029054 1.59419476181119 12 0.0246621834505337 0.000302385924116189
"16" "{items=Tea,Cookies} => {daypart=Afternoon}" 0.00126782884310618 0.857142857142857 0.00147913365029054 1.59419476181119 12 0.0246621834505337 0.000302385924116189
"53" "{items=Soup,Coffee,day_type=Weekday} => {daypart=Afternoon}" 0.00126782884310618 0.857142857142857 0.00147913365029054 1.59419476181119 12 0.0246621834505337 0.000302385924116189
"11" "{items=Scone,Coffee} => {daypart=Afternoon}" 0.001162176439514 0.846153846153846 0.00137348124669836 1.57375636742899 11 0.0229464183248257 0.000261775101539741
"41" "{items=Coffee,Sandwich} => {daypart=Afternoon}" 0.004648705758056 0.846153846153846 0.00549392498679345 1.57375636742899 44 0.0459878101204353 0.00105143875905811
"6" "{items=Coffee,Coffee,Sandwich} => {daypart=Afternoon}" 0.00105652403592182 0.833333333333333 0.00126782884310618 1.5499115739831 10 0.0211288676740967 0.000221947863959682
"30" "{items=Bread,Sandwich} => {daypart=Afternoon}" 0.00158478605388273 0.833333333333333 0.00190174326465927 1.5499115739831 15 0.0258856886971334 0.000333133241983252
"50" "{items=Tea,Cookies,day_type=Weekday} => {daypart=Afternoon}" 0.00105652403592182 0.833333333333333 0.00126782884310618 1.5499115739831 10 0.0211288676740967 0.000221947863959682
"74" "{items=Tea,Bread,day_type=Weekend} => {daypart=Afternoon}" 0.00105652403592182 0.833333333333333 0.00126782884310618 1.5499115739831 10 0.0211288676740967 0.000221947863959682
"3" "{items=Tea,Pastry} => {day_type=Weekday}" 0.00105652403592182 1 0.00105652403592182 1.54027664768104 10 0.0239043716129827 0.000260257583656207
"79" "{items=Cookies,daypart=Morning} => {day_type=Weekday}" 0.00105652403592182 1 0.00105652403592182 1.54027664768104 10 0.0239043716129827 0.000260257583656207
"84" "{items=Coffee,Toast,daypart=Afternoon} => {day_type=Weekday}" 0.00200739566825145 1 0.00200739566825145 1.54027664768104 19 0.0329655957069066 0.000494960550666099
"33" "{items=Sandwich,Coffee} => {daypart=Afternoon}" 0.00200739566825145 0.826086956521739 0.00243000528262018 1.53643408203542 19 0.0285512976387572 0.000405275384186665
